beer_id,username,score
104,michellebrucato,2
51741,michellebrucato,4.7
125646,michellebrucato,3
7,michellebrucato,3
2093,michellebrucato,3.5
916,michellebrucato,4
48139,michellebrucato,3.2
132073,michellebrucato,4.5
150933,michellebrucato,3.5
1320,michellebrucato,1
41821,michellebrucato,1.5
20732,michellebrucato,1.2
837,michellebrucato,1.2
60330,michellebrucato,4.5
40628,michellebrucato,3.7
185413,michellebrucato,3.6
113523,michellebrucato,3.4
57912,michellebrucato,3.3
84045,michellebrucato,3.6
811,michellebrucato,3
62586,michellebrucato,4.7
1585,michellebrucato,4.7
667,michellebrucato,2
1524,michellebrucato,1
104450,michellebrucato,1
92448,michellebrucato,4
129541,michellebrucato,3.75
70286,michellebrucato,4
1352,michellebrucato,2.2
14309,michellebrucato,2.2